game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_155,ULK-GAL,20,REGULAR SEASON,E2016,ULK,GAL,4,4,11,10,11,6,19,4,7,20,5,4,11,2,5,0,4,1,7,12,21,4,56,29,66,14,7,27,57-65,30,64-65,8,6,11-14,8,11-22,5,15,40,20,85-80,39-54
E2016_156,TEL-UNK,20,REGULAR SEASON,E2016,TEL,UNK,2,2,6,6,10,15,33,18,11,25,10,4,5,6,4,2,3,1,9,3,4,2,35,25,23,29,8,2,0-4,4,8-4,6,7,16-6,12,16-12,10,4,7,2,16-6,0-4
E2016_157,CSK-IST,20,REGULAR SEASON,E2016,CSK,IST,0,6,14,15,11,10,23,18,11,19,7,7,5,7,3,1,1,3,8,10,9,7,44,36,49,28,8,17,36-35,21,44-35,8,39,79-69,40,79-77,13,3,26,1,54-41,0-3
E2016_158,DAR-ZAL,20,REGULAR SEASON,E2016,DAR,ZAL,4,0,14,11,8,9,17,9,11,26,6,6,7,9,7,2,1,3,9,2,8,10,41,25,43,26,7,7,7-14,10,14-14,8,3,5-4,7,5-12,2,9,1,32,2-0,51-60
E2016_159,OLY-BAM,20,REGULAR SEASON,E2016,OLY,BAM,8,9,13,20,12,14,25,7,14,16,8,8,6,4,3,2,2,7,10,3,7,7,54,29,45,32,7,3,4-3,5,11-3,6,10,24-11,11,24-17,15,0,23,0,49-34,
E2016_160,MAD-MIL,20,REGULAR SEASON,E2016,MAD,MIL,6,0,4,15,15,7,25,8,11,21,8,6,5,5,2,2,2,5,13,8,8,7,42,52,38,51,7,24,50-56,25,57-56,8,17,46-41,20,46-49,7,6,40,24,92-85,50-56
E2016_161,BAM-TEL,21,REGULAR SEASON,E2016,BAM,TEL,0,0,14,15,6,4,24,6,2,19,6,5,4,7,2,1,2,3,14,9,8,4,39,51,45,30,15,26,54-53,32,69-53,8,32,72-56,34,72-64,16,8,32,18,72-56,34-42
E2016_162,MIL-DAR,21,REGULAR SEASON,E2016,MIL,DAR,7,5,12,14,5,7,26,9,6,24,5,7,4,5,3,3,2,2,11,6,14,4,43,46,75,12,13,28,51-73,31,64-73,9,20,38-48,21,38-57,5,25,2,25,5-0,43-68
E2016_163,ULK-CSK,21,REGULAR SEASON,E2016,ULK,CSK,2,2,5,6,9,12,27,10,9,22,9,4,4,5,3,3,3,0,6,11,4,6,33,44,33,38,14,21,36-42,26,50-42,10,18,36-32,21,36-42,11,6,30,21,60-49,36-42
E2016_164,UNK-OLY,21,REGULAR SEASON,E2016,UNK,OLY,2,0,18,12,9,20,16,13,10,22,7,2,7,4,4,4,3,4,14,4,17,2,48,27,75,15,8,28,53-69,34,61-69,14,8,13-22,11,13-36,0,27,0,13,,16-43
E2016_165,ZAL-BAR,21,REGULAR SEASON,E2016,ZAL,BAR,2,4,20,13,13,11,22,9,8,18,6,6,7,4,2,4,2,2,14,5,15,8,46,43,53,32,9,32,64-70,34,73-70,7,6,13-12,8,13-19,8,6,39,8,84-76,13-19
E2016_166,RED-IST,21,REGULAR SEASON,E2016,RED,IST,17,27,16,15,6,9,26,9,9,29,6,5,7,5,2,0,6,5,11,8,8,19,42,30,51,35,12,22,38-56,28,50-56,15,17,34-30,20,34-45,6,22,8,34,16-10,54-76
E2016_167,GAL-PAN,21,REGULAR SEASON,E2016,GAL,PAN,6,5,6,28,4,2,27,6,7,18,12,5,6,4,4,1,7,3,14,4,13,7,59,20,38,46,12,1,0-3,5,12-3,13,13,31-21,17,31-34,11,14,7,26,20-9,46-60
E2016_168,BAS-MAD,21,REGULAR SEASON,E2016,BAS,MAD,4,2,4,10,11,12,24,15,19,25,5,6,3,2,1,0,4,0,12,7,15,6,35,36,46,33,7,14,20-28,15,27-28,8,2,4-4,5,4-12,2,12,11,36,18-16,62-74
E2016_169,IST-MIL,22,REGULAR SEASON,E2016,IST,MIL,11,7,13,19,21,7,21,10,16,19,13,7,9,11,6,3,8,1,9,13,14,10,29,61,59,27,8,37,80-85,40,88-85,11,4,5-10,7,5-21,4,19,40,16,90-86,27-46
E2016_170,TEL-BAS,22,REGULAR SEASON,E2016,TEL,BAS,3,16,6,8,3,12,30,13,6,26,4,5,1,3,0,0,1,3,14,3,12,7,64,21,61,23,9,20,46-39,22,55-39,8,38,85-76,40,85-84,19,0,27,0,66-47,
E2016_171,PAN-BAM,22,REGULAR SEASON,E2016,PAN,BAM,4,9,15,12,16,10,26,9,10,23,6,7,6,4,2,2,3,3,9,3,14,6,38,43,39,33,9,5,10-16,7,19-16,8,11,30-19,14,30-27,11,8,11,4,30-19,3-11
E2016_172,UNK-MAD,22,REGULAR SEASON,E2016,UNK,MAD,2,0,17,8,6,12,17,13,6,23,5,3,7,7,5,3,3,1,17,3,10,14,58,19,31,50,12,1,0-4,4,12-4,11,17,31-30,19,31-41,8,10,4,19,14-6,31-41
E2016_173,CSK-RED,22,REGULAR SEASON,E2016,CSK,RED,9,9,23,23,8,6,27,5,6,11,9,11,7,5,7,2,7,5,17,10,14,4,60,42,43,37,11,32,77-67,35,88-67,7,22,62-49,23,62-56,27,5,39,3,100-73,3-8
E2016_174,DAR-ULK,22,REGULAR SEASON,E2016,DAR,ULK,2,4,6,6,16,10,25,9,11,26,7,4,7,5,3,2,3,1,14,2,8,3,56,16,45,20,9,19,27-31,22,36-31,12,3,5-3,8,5-15,9,10,40,8,72-63,5-15
E2016_175,BAR-GAL,22,REGULAR SEASON,E2016,BAR,GAL,8,4,7,9,14,6,30,7,16,30,8,6,7,2,4,3,3,4,15,3,12,6,50,12,32,37,9,1,0-2,4,9-2,7,10,16-8,12,16-15,8,8,10,39,16-8,59-67
E2016_176,OLY-ZAL,22,REGULAR SEASON,E2016,OLY,ZAL,5,4,12,6,12,9,24,8,9,25,5,3,5,7,4,5,2,2,11,4,3,10,45,28,34,30,7,35,64-61,39,71-61,6,10,19-15,11,19-21,10,4,39,13,71-61,21-25
E2016_177,RED-GAL,23,REGULAR SEASON,E2016,RED,GAL,14,3,29,6,9,2,24,3,11,24,7,7,11,12,9,6,4,5,16,6,7,11,50,27,28,30,8,16,33-24,18,41-24,4,2,6-3,3,6-7,26,0,27,0,62-36,
E2016_178,CSK-TEL,23,REGULAR SEASON,E2016,CSK,TEL,4,8,19,6,21,6,27,9,18,26,7,5,8,7,7,1,4,2,10,11,9,13,59,34,39,42,10,4,11-8,7,21-8,11,15,43-28,17,43-39,18,0,13,0,39-21,
E2016_179,MIL-BAR,23,REGULAR SEASON,E2016,MIL,BAR,5,0,20,16,8,6,15,7,12,24,9,5,8,12,4,5,7,1,7,10,16,3,32,46,54,29,10,10,19-22,13,29-22,16,17,45-30,23,45-46,15,15,17,34,45-30,59-74
E2016_180,ULK-OLY,23,REGULAR SEASON,E2016,ULK,OLY,4,4,10,11,12,6,24,6,14,25,4,5,9,3,5,2,4,1,9,4,8,6,57,10,51,13,15,32,50-60,38,65-60,8,27,45-45,29,45-53,6,11,16,31,34-28,47-58
E2016_181,IST-BAS,23,REGULAR SEASON,E2016,IST,BAS,11,5,6,8,15,16,22,10,12,25,5,3,9,5,2,2,2,2,11,15,12,7,44,52,62,23,7,10,20-21,11,27-21,7,36,88-71,37,88-78,17,5,32,3,79-62,2-7
E2016_182,BAM-ZAL,23,REGULAR SEASON,E2016,BAM,ZAL,12,2,13,6,17,6,16,6,11,21,6,3,6,7,7,3,1,0,11,6,14,5,51,35,48,43,11,22,49-55,27,60-55,7,35,74-74,38,74-81,6,11,28,5,66-60,7-18
E2016_183,PAN-UNK,23,REGULAR SEASON,E2016,PAN,UNK,6,3,13,8,17,2,21,8,12,26,1,6,9,1,3,2,2,1,8,7,14,3,43,40,57,25,8,33,57-65,35,65-65,7,11,26-25,14,26-32,4,10,5,31,11-7,52-62
E2016_184,MAD-DAR,23,REGULAR SEASON,E2016,MAD,DAR,2,2,14,8,8,10,26,16,7,20,6,5,7,3,2,4,3,4,13,15,13,3,52,49,44,39,10,16,41-32,18,51-32,9,12,36-19,15,36-28,21,0,22,0,58-37,
